County,State Long,Annual Establishments,Annual Average Employment,Total Annual Wages,Annual Average Weekly Wage,Annual Wages per Employee,Annual Average Employment Location Quotient,Total Annual Wages Location Quotient,State
Johnson County, Indiana,3343,55078,2185297281,763,39677,1,1,IN
Knox County, Indiana,942,17564,693396157,759,39479,1,1,IN
Kosciusko County, Indiana,1954,38882,1907948132,944,49070,1,1,IN
Lagrange County, Indiana,909,14519,644814868,854,44413,1,1,IN
Lake County, Indiana,10379,187895,9018605619,923,47998,1,1,IN
LaPorte County, Indiana,2289,40305,1639906105,782,40687,1,1,IN
Lawrence County, Indiana,868,13744,537300119,752,39093,1,1,IN
Madison County, Indiana,2217,39715,1562277627,756,39338,1,1,IN
Marion County, Indiana,24054,598125,34419987543,1107,57547,1,1,IN
Marshall County, Indiana,1045,18515,725239859,753,39170,1,1,IN
Martin County, Indiana,243,7311,516180277,1358,70600,1,1,IN
Miami County, Indiana,606,9340,351339538,723,37617,1,1,IN
Monroe County, Indiana,3014,63296,2823218170,858,44604,1,1,IN
Montgomery County, Indiana,847,15291,678533576,853,44374,1,1,IN
Morgan County, Indiana,1241,15714,592672772,725,37716,1,1,IN
Newton County, Indiana,278,3236,124365254,739,38435,1,1,IN
Noble County, Indiana,886,18543,739576109,767,39884,1,1,IN
Ohio County, Indiana,85,1347,37696229,538,27987,1,1,IN
Orange County, Indiana,371,7440,256794388,664,34517,1,1,IN
Owen County, Indiana,314,4833,193899507,772,40120,1,1,IN
Parke County, Indiana,302,3175,97982829,593,30862,1,1,IN
Perry County, Indiana,367,6468,265304930,789,41015,1,1,IN
Pike County, Indiana,188,2746,133500553,935,48621,1,1,IN
Porter County, Indiana,3680,60799,2765478170,875,45486,1,1,IN
Posey County, Indiana,510,8652,495642722,1102,57285,1,1,IN
Pulaski County, Indiana,353,4772,196529097,792,41187,1,1,IN
Putnam County, Indiana,689,13528,504199091,717,37271,1,1,IN
Randolph County, Indiana,503,6548,238401772,700,36409,1,1,IN
Ripley County, Indiana,734,12268,545987068,856,44507,1,1,IN
Rush County, Indiana,409,5008,196754857,755,39285,1,1,IN
St. Joseph County, Indiana,5749,123218,5547210960,866,45020,1,1,IN
Scott County, Indiana,394,8403,302768017,693,36030,1,1,IN
Shelby County, Indiana,936,18416,803432104,839,43627,1,1,IN
Spencer County, Indiana,465,6852,270524030,759,39481,1,1,IN
Starke County, Indiana,331,4547,139990666,592,30790,1,1,IN
Steuben County, Indiana,962,15914,589065628,712,37015,1,1,IN
Sullivan County, Indiana,386,5612,228917254,784,40792,1,1,IN
Switzerland County, Indiana,146,2128,75319400,681,35399,1,1,IN
Tippecanoe County, Indiana,3454,84996,4242002972,960,49909,1,1,IN
Tipton County, Indiana,318,5245,273613856,1003,52167,1,1,IN
Union County, Indiana,138,1323,42645721,620,32242,1,1,IN
Vanderburgh County, Indiana,4768,109354,4885775171,859,44678,1,1,IN
Vermillion County, Indiana,308,4279,198883631,894,46483,1,1,IN
Vigo County, Indiana,2385,48306,1964117739,782,40660,1,1,IN
Wabash County, Indiana,742,12098,456004517,725,37694,1,1,IN
Warren County, Indiana,143,1897,78638478,797,41463,1,1,IN
Warrick County, Indiana,1172,16270,764545095,904,46992,1,1,IN
Washington County, Indiana,471,6185,211416186,657,34183,1,1,IN
Wayne County, Indiana,1414,30547,1192623681,751,39042,1,1,IN
Wells County, Indiana,624,10798,418450247,745,38751,1,1,IN
White County, Indiana,652,9203,348515257,728,37870,1,1,IN
Whitley County, Indiana,708,12755,543887943,820,42640,1,1,IN
Unknown Or Undefined, Indiana,19485,77061,4896650300,1222,63542,1,1,IN
Adair County, Iowa,297,2794,102637311,706,36735,1,1,IA
Allamakee County, Iowa,476,5115,182865529,688,35750,1,1,IA
Appanoose County, Iowa,363,4456,158772455,685,35632,1,1,IA
Audubon County, Iowa,222,1775,66938559,725,37703,1,1,IA
Benton County, Iowa,682,5973,236294860,761,39560,1,1,IA
Black Hawk County, Iowa,3842,74642,3555006602,916,47628,1,1,IA
Boone County, Iowa,730,9118,372733133,786,40880,1,1,IA
Bremer County, Iowa,725,9965,417540746,806,41902,1,1,IA
Buchanan County, Iowa,617,6649,256877330,743,38633,1,1,IA
Buena Vista County, Iowa,659,11005,458135276,801,41631,1,1,IA
Butler County, Iowa,424,3448,126025073,703,36555,1,1,IA
Calhoun County, Iowa,323,2900,103801000,688,35791,1,1,IA
Carroll County, Iowa,971,11403,449254040,758,39397,1,1,IA
Cass County, Iowa,556,6079,236995458,750,38984,1,1,IA
Cedar County, Iowa,575,5415,208742830,741,38551,1,1,IA
Cerro Gordo County, Iowa,1686,24764,1037870028,806,41911,1,1,IA
Cherokee County, Iowa,454,4702,184801368,756,39305,1,1,IA
Chickasaw County, Iowa,437,4879,205423879,810,42103,1,1,IA
Clarke County, Iowa,241,4482,175037418,751,39051,1,1,IA
Clay County, Iowa,738,8638,368089679,820,42615,1,1,IA
Clayton County, Iowa,630,6806,271771705,768,39931,1,1,IA
Clinton County, Iowa,1413,20595,836587489,781,40620,1,1,IA
Crawford County, Iowa,495,6857,293951280,824,42868,1,1,IA
Dallas County, Iowa,2612,45150,2471134427,1053,54732,1,1,IA
Davis County, Iowa,254,2039,75363445,711,36953,1,1,IA
Decatur County, Iowa,225,2429,79721615,631,32821,1,1,IA
Delaware County, Iowa,575,6592,281467167,821,42699,1,1,IA
Des Moines County, Iowa,1377,22054,918156770,801,41631,1,1,IA
Dickinson County, Iowa,883,9565,355801703,715,37200,1,1,IA
Dubuque County, Iowa,3307,58810,2681269521,877,45592,1,1,IA
Emmet County, Iowa,336,3843,148089967,741,38537,1,1,IA
Fayette County, Iowa,683,7223,263304843,701,36455,1,1,IA
Floyd County, Iowa,504,6187,259957637,808,42014,1,1,IA
Franklin County, Iowa,386,3945,166022334,809,42080,1,1,IA
Fremont County, Iowa,270,2240,79342777,681,35424,1,1,IA
Greene County, Iowa,332,3362,136654931,782,40653,1,1,IA
Grundy County, Iowa,370,4075,184833022,872,45353,1,1,IA
Guthrie County, Iowa,374,3112,126739099,783,40723,1,1,IA
Hamilton County, Iowa,503,5852,239688240,788,40957,1,1,IA
Hancock County, Iowa,373,6413,283302039,850,44180,1,1,IA
Hardin County, Iowa,690,7021,280499413,768,39951,1,1,IA
Harrison County, Iowa,455,4111,157168383,735,38230,1,1,IA
Henry County, Iowa,627,9435,395780811,807,41949,1,1,IA
Howard County, Iowa,340,4257,160371444,724,37669,1,1,IA
Humboldt County, Iowa,367,3965,165058871,800,41625,1,1,IA
Ida County, Iowa,302,3808,171005537,864,44902,1,1,IA
Iowa County, Iowa,727,10280,397934266,744,38709,1,1,IA
Jackson County, Iowa,684,6342,219942013,667,34679,1,1,IA
Jasper County, Iowa,925,11395,443982216,749,38963,1,1,IA
Jefferson County, Iowa,782,7704,309459384,772,40167,1,1,IA
Johnson County, Iowa,4283,83886,4309774745,988,51377,1,1,IA
Jones County, Iowa,637,6246,242727191,747,38862,1,1,IA
Keokuk County, Iowa,309,2180,80955319,714,37141,1,1,IA
Kossuth County, Iowa,638,6875,299787052,839,43603,1,1,IA
Lee County, Iowa,1073,15328,667928115,838,43577,1,1,IA
Linn County, Iowa,6921,130578,7210346200,1062,55219,1,1,IA
Louisa County, Iowa,270,3879,154919014,768,39934,1,1,IA
Lucas County, Iowa,232,3520,146374990,800,41584,1,1,IA
Lyon County, Iowa,498,4614,177885864,741,38551,1,1,IA
Madison County, Iowa,494,3878,146661236,727,37816,1,1,IA
Mahaska County, Iowa,626,7950,331521081,802,41701,1,1,IA
Marion County, Iowa,997,17634,868508919,947,49253,1,1,IA
Marshall County, Iowa,1028,16849,754907527,862,44804,1,1,IA
Mills County, Iowa,398,3607,157265586,839,43602,1,1,IA
Mitchell County, Iowa,388,3963,166302258,807,41961,1,1,IA
Monona County, Iowa,300,2633,92708607,677,35208,1,1,IA
Monroe County, Iowa,243,3447,168923980,942,49006,1,1,IA
Montgomery County, Iowa,387,4087,163460780,769,39994,1,1,IA
Muscatine County, Iowa,1191,23285,1154632389,954,49588,1,1,IA
Obrien County, Iowa,598,6586,246065785,719,37364,1,1,IA
Osceola County, Iowa,255,2423,95692401,759,39488,1,1,IA
Page County, Iowa,489,6277,247356024,758,39410,1,1,IA
Palo Alto County, Iowa,351,3874,142460785,707,36771,1,1,IA
Plymouth County, Iowa,820,11574,545168130,906,47102,1,1,IA
Pocahontas County, Iowa,287,3121,145195497,895,46527,1,1,IA
Polk County, Iowa,17674,301937,17266828088,1100,57187,1,1,IA
Pottawattamie County, Iowa,2541,39657,1678818590,814,42333,1,1,IA
Poweshiek County, Iowa,663,10401,441962728,817,42492,1,1,IA
Ringgold County, Iowa,187,1437,51921174,695,36121,1,1,IA
Sac County, Iowa,388,3026,114876912,730,37958,1,1,IA
Scott County, Iowa,5695,90992,4158630721,879,45703,1,1,IA
Shelby County, Iowa,443,5805,231606747,767,39901,1,1,IA
Sioux County, Iowa,1480,20806,876834473,810,42144,1,1,IA
Story County, Iowa,2635,46500,2333086495,965,50174,1,1,IA
Tama County, Iowa,430,5628,215900354,738,38363,1,1,IA
Taylor County, Iowa,184,2058,76269339,713,37058,1,1,IA
Union County, Iowa,433,6151,234484128,733,38124,1,1,IA
Van Buren County, Iowa,212,1979,71384090,694,36065,1,1,IA
Wapello County, Iowa,880,16185,655668821,779,40511,1,1,IA
Warren County, Iowa,1106,11552,457191986,761,39576,1,1,IA
Washington County, Iowa,782,8205,298040074,699,36323,1,1,IA
Wayne County, Iowa,195,1858,71497693,740,38484,1,1,IA
Webster County, Iowa,1206,18107,816257093,867,45080,1,1,IA
Winnebago County, Iowa,399,4233,153685794,698,36304,1,1,IA
Winneshiek County, Iowa,744,10373,416135443,771,40117,1,1,IA
Woodbury County, Iowa,3240,51830,2157300253,800,41622,1,1,IA
Worth County, Iowa,240,2343,85365681,701,36434,1,1,IA
Wright County, Iowa,501,5589,243325694,837,43539,1,1,IA
Allen County, Kansas,374,5682,195926729,663,34485,1,1,KS
Anderson County, Kansas,227,2060,68211280,637,33115,1,1,KS
Atchison County, Kansas,395,5618,231070562,791,41129,1,1,KS
Barber County, Kansas,222,1646,55960635,654,34007,1,1,KS
Barton County, Kansas,964,11986,446984834,717,37291,1,1,KS
Bourbon County, Kansas,358,6420,220603729,661,34361,1,1,KS
Brown County, Kansas,343,5224,207403474,763,39700,1,1,KS
Butler County, Kansas,1424,18782,722600645,740,38474,1,1,KS
Chase County, Kansas,86,934,32250891,664,34548,1,1,KS
Chautauqua County, Kansas,99,734,21734673,570,29628,1,1,KS
Cherokee County, Kansas,397,5833,232845534,768,39922,1,1,KS
Cheyenne County, Kansas,124,872,28426946,627,32590,1,1,KS
Clark County, Kansas,85,721,27570822,736,38266,1,1,KS
Clay County, Kansas,284,2998,93553632,600,31204,1,1,KS
Cloud County, Kansas,296,3118,92349061,570,29623,1,1,KS
Coffey County, Kansas,267,3719,242810947,1256,65286,1,1,KS
Comanche County, Kansas,95,632,17779600,541,28143,1,1,KS
Cowley County, Kansas,776,14172,544813810,739,38443,1,1,KS
Crawford County, Kansas,978,17048,599527842,676,35166,1,1,KS
Decatur County, Kansas,136,940,26088956,533,27742,1,1,KS
Dickinson County, Kansas,510,6356,210698299,637,33150,1,1,KS
Doniphan County, Kansas,208,2289,80710297,678,35268,1,1,KS
Douglas County, Kansas,3065,49197,1926895569,753,39167,1,1,KS
Edwards County, Kansas,139,963,34550396,690,35884,1,1,KS
Elk County, Kansas,93,601,15020928,481,25004,1,1,KS
Ellis County, Kansas,1117,15193,572665081,725,37692,1,1,KS
Ellsworth County, Kansas,189,2265,81760466,694,36104,1,1,KS
Finney County, Kansas,1105,19515,786800236,775,40318,1,1,KS
Ford County, Kansas,849,17051,697737946,787,40920,1,1,KS
Franklin County, Kansas,624,9257,350829423,729,37901,1,1,KS
Geary County, Kansas,694,12866,515133561,770,40039,1,1,KS
Gove County, Kansas,153,1229,40916305,640,33292,1,1,KS
Graham County, Kansas,112,864,29996244,668,34731,1,1,KS
Grant County, Kansas,244,2919,133324766,879,45683,1,1,KS
Gray County, Kansas,482,3290,120363988,704,36585,1,1,KS
Greeley County, Kansas,70,644,20566894,614,31924,1,1,KS
Greenwood County, Kansas,215,1700,53590043,606,31516,1,1,KS
Hamilton County, Kansas,99,1423,52529222,710,36923,1,1,KS
Harper County, Kansas,212,2310,85946390,716,37206,1,1,KS
Harvey County, Kansas,765,13936,529886618,731,38024,1,1,KS
Haskell County, Kansas,167,1777,74652049,808,42008,1,1,KS
Hodgeman County, Kansas,79,564,18269968,622,32370,1,1,KS
Jackson County, Kansas,315,4187,139601740,641,33339,1,1,KS
Jefferson County, Kansas,381,3655,131949971,694,36098,1,1,KS
Jewell County, Kansas,106,754,22466935,573,29800,1,1,KS
Johnson County, Kansas,23618,349352,19838374017,1092,56786,1,1,KS
Kearny County, Kansas,132,1444,51833625,690,35890,1,1,KS
Kingman County, Kansas,240,2355,82666321,675,35109,1,1,KS
Kiowa County, Kansas,109,1129,32693012,557,28964,1,1,KS
Labette County, Kansas,476,9047,331529798,705,36647,1,1,KS
Lane County, Kansas,86,637,24670116,745,38744,1,1,KS
Leavenworth County, Kansas,1418,21050,955345142,873,45385,1,1,KS
Lincoln County, Kansas,112,949,31602403,641,33307,1,1,KS
Linn County, Kansas,249,2011,86231910,824,42871,1,1,KS
Logan County, Kansas,134,1266,40560714,616,32030,1,1,KS
Lyon County, Kansas,845,15020,533381340,683,35511,1,1,KS
Mcpherson County, Kansas,933,14839,661464006,857,44575,1,1,KS
Marion County, Kansas,329,3583,114640669,615,31993,1,1,KS
Marshall County, Kansas,388,4545,168310057,712,37036,1,1,KS
Meade County, Kansas,157,1686,69834084,797,41424,1,1,KS
Miami County, Kansas,798,8500,320680797,726,37727,1,1,KS
Mitchell County, Kansas,266,3172,110449262,670,34826,1,1,KS
Montgomery County, Kansas,1732,14457,527247294,701,36469,1,1,KS
Morris County, Kansas,157,1537,46900611,587,30513,1,1,KS
Morton County, Kansas,103,835,29348031,676,35165,1,1,KS
Nemaha County, Kansas,404,5122,196342436,737,38333,1,1,KS
Neosho County, Kansas,475,6140,222025964,695,36163,1,1,KS
Ness County, Kansas,152,1093,40610269,715,37169,1,1,KS
Norton County, Kansas,203,2365,87393008,711,36958,1,1,KS
Osage County, Kansas,320,2807,79400542,544,28290,1,1,KS
Osborne County, Kansas,185,1476,49027362,639,33213,1,1,KS
Ottawa County, Kansas,176,1259,38275036,585,30401,1,1,KS
Pawnee County, Kansas,223,2747,99792022,699,36322,1,1,KS
Phillips County, Kansas,252,2461,87210200,682,35443,1,1,KS
Pottawatomie County, Kansas,644,9760,394595834,778,40432,1,1,KS
Pratt County, Kansas,363,4570,179562081,756,39291,1,1,KS
Rawlins County, Kansas,126,930,31572039,653,33967,1,1,KS
Reno County, Kansas,1623,26530,1002284124,727,37780,1,1,KS
Republic County, Kansas,219,1924,57033997,570,29649,1,1,KS
Rice County, Kansas,323,3938,156004140,762,39614,1,1,KS
Riley County, Kansas,1704,29071,1118746232,740,38483,1,1,KS
Rooks County, Kansas,208,1806,61858278,659,34244,1,1,KS
Rush County, Kansas,111,1085,36708360,650,33825,1,1,KS
Russell County, Kansas,298,2488,84265674,651,33867,1,1,KS
Saline County, Kansas,1489,30029,1175320856,753,39139,1,1,KS
Scott County, Kansas,261,2285,87523442,736,38298,1,1,KS
Sedgwick County, Kansas,12602,250666,11973694135,919,47767,1,1,KS
Seward County, Kansas,594,10640,435682238,787,40949,1,1,KS
Shawnee County, Kansas,5086,96786,4463938895,887,46122,1,1,KS
Sheridan County, Kansas,130,967,36237377,720,37464,1,1,KS
Sherman County, Kansas,250,2447,87646241,689,35825,1,1,KS
Smith County, Kansas,164,1279,39299947,591,30733,1,1,KS
Stafford County, Kansas,182,1209,39020761,621,32277,1,1,KS
Stanton County, Kansas,103,836,33418172,768,39962,1,1,KS
Stevens County, Kansas,192,1814,65465303,694,36099,1,1,KS
Sumner County, Kansas,530,6814,239523712,676,35152,1,1,KS
Thomas County, Kansas,402,4044,146154368,695,36143,1,1,KS
Trego County, Kansas,129,1194,41538559,669,34792,1,1,KS
Wabaunsee County, Kansas,178,1348,44694750,638,33154,1,1,KS
Wallace County, Kansas,92,534,17334252,624,32451,1,1,KS
Washington County, Kansas,284,2020,57707198,549,28571,1,1,KS
Wichita County, Kansas,113,911,39091975,825,42891,1,1,KS
Wilson County, Kansas,245,3670,131546723,689,35848,1,1,KS
Woodson County, Kansas,101,710,19818096,537,27919,1,1,KS
Wyandotte County, Kansas,3463,90467,4834925467,1028,53444,1,1,KS
Unknown Or Undefined, Kansas,2069,23515,1538194730,1258,65414,1,1,KS
Adair County, Kentucky,388,4509,146957636,627,32591,1,1,KY
Allen County, Kentucky,297,4619,165488562,689,35825,1,1,KY
Anderson County, Kentucky,417,4797,178734039,717,37261,1,1,KY
Ballard County, Kentucky,167,1467,67746016,888,46193,1,1,KY
Barren County, Kentucky,1033,16762,606191553,695,36165,1,1,KY
Bath County, Kentucky,192,1872,67140436,690,35869,1,1,KY
Bell County, Kentucky,561,8146,279474883,660,34308,1,1,KY
Boone County, Kentucky,4461,93013,4386699885,907,47162,1,1,KY
Bourbon County, Kentucky,534,6543,269200139,791,41146,1,1,KY
Boyd County, Kentucky,1587,24302,1148765085,909,47270,1,1,KY
Boyle County, Kentucky,837,14016,567572110,779,40496,1,1,KY
Bracken County, Kentucky,159,1335,48569773,700,36384,1,1,KY
Breathitt County, Kentucky,319,3004,103615608,663,34492,1,1,KY
Breckinridge County, Kentucky,363,3500,117233087,644,33492,1,1,KY
Bullitt County, Kentucky,1326,25796,1025718546,765,39762,1,1,KY
Butler County, Kentucky,260,2902,102316395,678,35259,1,1,KY
Caldwell County, Kentucky,345,4136,141316827,657,34168,1,1,KY
Calloway County, Kentucky,1019,16387,589042802,691,35946,1,1,KY
Campbell County, Kentucky,2258,30353,1332166228,844,43890,1,1,KY
Carlisle County, Kentucky,133,1047,32775444,602,31307,1,1,KY
Carroll County, Kentucky,308,6986,393668620,1084,56349,1,1,KY
Carter County, Kentucky,543,5447,179769556,635,33006,1,1,KY
Casey County, Kentucky,291,3887,121189809,600,31176,1,1,KY
Christian County, Kentucky,1673,30943,1311814787,815,42394,1,1,KY
Clark County, Kentucky,850,14748,626228462,817,42462,1,1,KY
Clay County, Kentucky,374,3969,142992776,693,36024,1,1,KY
Clinton County, Kentucky,256,3849,116846776,584,30354,1,1,KY
Crittenden County, Kentucky,175,1996,64031717,617,32083,1,1,KY
Cumberland County, Kentucky,141,1865,66736935,688,35781,1,1,KY
Daviess County, Kentucky,2914,46410,1949600119,808,42008,1,1,KY
Edmonson County, Kentucky,157,1588,52477517,636,33057,1,1,KY
Elliott County, Kentucky,92,916,29494128,619,32196,1,1,KY
Estill County, Kentucky,220,2346,80133399,657,34160,1,1,KY
Fayette County, Kentucky,11059,193518,9441675381,938,48790,1,1,KY
Fleming County, Kentucky,321,3012,106357799,679,35312,1,1,KY
Floyd County, Kentucky,978,10405,408295466,755,39239,1,1,KY
Franklin County, Kentucky,1944,31691,1399011417,849,44145,1,1,KY
Fulton County, Kentucky,194,2044,65715228,618,32148,1,1,KY
Gallatin County, Kentucky,145,2461,123816281,967,50305,1,1,KY
Garrard County, Kentucky,309,2163,77577169,690,35874,1,1,KY
Grant County, Kentucky,481,4873,193916159,765,39796,1,1,KY
Graves County, Kentucky,861,11026,418826781,731,37987,1,1,KY
Grayson County, Kentucky,605,7929,274409623,666,34609,1,1,KY
Green County, Kentucky,183,1697,52789714,598,31102,1,1,KY
Greenup County, Kentucky,598,7754,322971353,801,41653,1,1,KY
Hancock County, Kentucky,181,4002,276272388,1328,69034,1,1,KY
Hardin County, Kentucky,2922,47830,2043253624,822,42720,1,1,KY
Harlan County, Kentucky,494,6115,217160897,683,35514,1,1,KY
Harrison County, Kentucky,338,4910,205144676,803,41780,1,1,KY
Hart County, Kentucky,332,5221,189871361,699,36367,1,1,KY
Henderson County, Kentucky,1181,19488,845584237,834,43389,1,1,KY
Henry County, Kentucky,301,2717,103339694,731,38033,1,1,KY
Hickman County, Kentucky,98,952,29489408,596,30982,1,1,KY
Hopkins County, Kentucky,1087,16561,692899603,805,41840,1,1,KY
Jackson County, Kentucky,152,1606,52898640,633,32938,1,1,KY
Jefferson County, Kentucky,25305,467966,25719476842,1057,54960,1,1,KY
Jessamine County, Kentucky,1306,17035,677872032,765,39793,1,1,KY
Johnson County, Kentucky,503,5179,174041953,646,33608,1,1,KY
Kenton County, Kentucky,4222,66949,3748056564,1077,55983,1,1,KY
Knott County, Kentucky,255,2255,71908303,613,31891,1,1,KY
Knox County, Kentucky,574,7908,267430697,650,33819,1,1,KY
Larue County, Kentucky,267,2530,84123386,639,33245,1,1,KY
Laurel County, Kentucky,1542,26724,983960166,708,36820,1,1,KY
Lawrence County, Kentucky,271,3329,115946844,670,34829,1,1,KY
Lee County, Kentucky,158,1667,56166257,648,33690,1,1,KY
Leslie County, Kentucky,163,1601,60870868,731,38028,1,1,KY
Letcher County, Kentucky,439,4465,154155586,664,34522,1,1,KY
Lewis County, Kentucky,201,1924,61113788,611,31761,1,1,KY
Lincoln County, Kentucky,412,3983,131196198,633,32940,1,1,KY
Livingston County, Kentucky,197,2508,111561893,855,44482,1,1,KY
Logan County, Kentucky,607,8863,398156499,864,44923,1,1,KY
Lyon County, Kentucky,219,2495,79245092,611,31760,1,1,KY
McCracken County, Kentucky,2442,38857,1708426852,846,43967,1,1,KY
McCreary County, Kentucky,260,2597,92274112,683,35528,1,1,KY
McLean County, Kentucky,214,2079,78247635,724,37637,1,1,KY
Madison County, Kentucky,2038,34114,1380673768,778,40473,1,1,KY
Magoffin County, Kentucky,204,1571,48276451,591,30722,1,1,KY
Marion County, Kentucky,470,8703,359014356,793,41251,1,1,KY
Marshall County, Kentucky,808,11049,569801529,992,51571,1,1,KY
Martin County, Kentucky,194,2280,100672419,849,44150,1,1,KY
Mason County, Kentucky,515,8508,348949121,789,41016,1,1,KY
Meade County, Kentucky,416,4245,159654648,723,37606,1,1,KY
Menifee County, Kentucky,101,934,30048314,619,32186,1,1,KY
Mercer County, Kentucky,466,6224,307221013,949,49363,1,1,KY
Metcalfe County, Kentucky,178,1841,64923650,678,35261,1,1,KY
Monroe County, Kentucky,269,3189,105378319,636,33047,1,1,KY
Montgomery County, Kentucky,673,10348,412559373,767,39870,1,1,KY
Morgan County, Kentucky,217,2887,101970329,679,35327,1,1,KY
Muhlenberg County, Kentucky,623,8064,334256049,797,41449,1,1,KY
Nelson County, Kentucky,1198,15989,673669795,810,42134,1,1,KY
Nicholas County, Kentucky,97,850,25072427,567,29485,1,1,KY
Ohio County, Kentucky,426,7795,286849205,708,36801,1,1,KY
Oldham County, Kentucky,1611,16044,715536749,858,44598,1,1,KY
Owen County, Kentucky,128,1398,57433186,790,41075,1,1,KY
Owsley County, Kentucky,90,664,18828071,545,28359,1,1,KY
Pendleton County, Kentucky,217,2361,93140635,759,39448,1,1,KY
Perry County, Kentucky,823,11176,434271977,747,38858,1,1,KY
Pike County, Kentucky,1489,20741,896200355,831,43208,1,1,KY
Powell County, Kentucky,237,2621,81144475,595,30961,1,1,KY
Pulaski County, Kentucky,1673,25518,923662550,696,36197,1,1,KY
Robertson County, Kentucky,52,302,8378642,534,27790,1,1,KY
Rockcastle County, Kentucky,244,3842,132230631,662,34416,1,1,KY
Rowan County, Kentucky,603,10365,365037841,677,35218,1,1,KY
Russell County, Kentucky,416,5781,184908505,615,31988,1,1,KY
Scott County, Kentucky,1218,26619,1433699978,1036,53860,1,1,KY
Shelby County, Kentucky,1177,17063,678891734,765,39787,1,1,KY
Simpson County, Kentucky,490,9037,363848644,774,40261,1,1,KY
Spencer County, Kentucky,299,1986,67777957,656,34131,1,1,KY
Taylor County, Kentucky,725,11871,401976373,651,33863,1,1,KY
Todd County, Kentucky,249,2208,71159077,620,32235,1,1,KY
Trigg County, Kentucky,273,3076,99517369,622,32354,1,1,KY
Trimble County, Kentucky,123,1129,57361634,977,50804,1,1,KY
Union County, Kentucky,334,4904,217689056,854,44390,1,1,KY
Warren County, Kentucky,3792,64617,2741622143,816,42429,1,1,KY
Washington County, Kentucky,303,3335,134179349,774,40230,1,1,KY
Wayne County, Kentucky,347,5807,178387709,591,30718,1,1,KY
Webster County, Kentucky,248,3129,150469744,925,48084,1,1,KY
Whitley County, Kentucky,834,11793,451749442,737,38308,1,1,KY
Wolfe County, Kentucky,130,1206,35532205,567,29469,1,1,KY
Woodford County, Kentucky,769,9032,397783701,847,44040,1,1,KY
Unknown Or Undefined, Kentucky,5417,26590,1762195962,1274,66272,1,1,KY
Acadia Parish, Louisiana,1304,14480,523569298,695,36158,1,1,LA
Allen Parish, Louisiana,422,7570,295148745,750,38991,1,1,LA
Ascension Parish, Louisiana,2957,45686,2537433641,1068,55541,1,1,LA
Assumption Parish, Louisiana,317,3882,163803347,811,42193,1,1,LA
Avoyelles Parish, Louisiana,876,10527,334071591,610,31736,1,1,LA
Beauregard Parish, Louisiana,730,8100,329914236,783,40731,1,1,LA
Bienville Parish, Louisiana,307,4399,170117731,744,38675,1,1,LA
Bossier Parish, Louisiana,2934,44409,1809858673,784,40754,1,1,LA
Caddo Parish, Louisiana,7267,112155,4962004809,851,44242,1,1,LA
Calcasieu Parish, Louisiana,5377,101845,5135183083,970,50422,1,1,LA
Caldwell Parish, Louisiana,221,2334,79091859,652,33892,1,1,LA
Cameron Parish, Louisiana,170,11904,1076586011,1739,90442,1,1,LA
Catahoula Parish, Louisiana,246,2001,62608152,602,31296,1,1,LA
Claiborne Parish, Louisiana,280,3362,125932049,720,37460,1,1,LA
Concordia Parish, Louisiana,442,5248,177093099,649,33747,1,1,LA
De Soto Parish, Louisiana,541,6925,356999732,991,51556,1,1,LA
East Baton Rouge Parish, Louisiana,15782,267285,14162514097,1019,52987,1,1,LA
East Carroll Parish, Louisiana,182,1729,52777220,587,30522,1,1,LA
East Feliciana Parish, Louisiana,342,5006,211525225,813,42251,1,1,LA
Evangeline Parish, Louisiana,633,7710,266917963,666,34618,1,1,LA
Franklin Parish, Louisiana,429,4697,143665599,588,30587,1,1,LA
Grant Parish, Louisiana,231,3418,136206197,766,39849,1,1,LA
Iberia Parish, Louisiana,1884,26319,1262214730,922,47958,1,1,LA
Iberville Parish, Louisiana,751,17239,1222490531,1364,70916,1,1,LA
Jackson Parish, Louisiana,292,3426,135281723,759,39483,1,1,LA
Jefferson Parish, Louisiana,14039,189544,9339465297,948,49273,1,1,LA
Jefferson Davis Parish, Louisiana,749,8320,303200283,701,36443,1,1,LA
Lafayette Parish, Louisiana,9781,130470,6184982392,912,47405,1,1,LA
Lafourche Parish, Louisiana,2031,34118,1701489124,959,49871,1,1,LA
LaSalle Parish, Louisiana,434,4474,168104260,723,37573,1,1,LA
Lincoln Parish, Louisiana,1286,19232,696265451,696,36204,1,1,LA
Livingston Parish, Louisiana,2284,27977,1049695902,722,37520,1,1,LA
Madison Parish, Louisiana,268,3166,96094709,584,30354,1,1,LA
Morehouse Parish, Louisiana,536,6642,225049316,652,33885,1,1,LA
Natchitoches Parish, Louisiana,947,13296,469768820,679,35332,1,1,LA
Orleans Parish, Louisiana,12998,196901,10282609875,1004,52222,1,1,LA
Ouachita Parish, Louisiana,4754,70486,2848078362,777,40407,1,1,LA
Plaquemines Parish, Louisiana,785,12338,832171065,1297,67447,1,1,LA
Pointe Coupee Parish, Louisiana,478,5273,211437862,771,40101,1,1,LA
Rapides Parish, Louisiana,3692,56694,2292929700,778,40444,1,1,LA
Red River Parish, Louisiana,188,2818,115607870,789,41024,1,1,LA
Richland Parish, Louisiana,517,6545,221589263,651,33855,1,1,LA
Sabine Parish, Louisiana,567,5315,187305790,678,35243,1,1,LA
